City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
297,Iwaki,JP,66.99,1001,37.05,140.88,Toyoko Inn Iwaki Ekimae
299,Mahajanga,MG,73.4,1013,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
300,Ambovombe,MG,68.49,1018,-25.17,46.08,MONJA Talilisoa
301,Kantabanji,IN,75.42,1008,20.48,82.92,Kamdhenu Borewell And Trading
302,Thohoyandou,ZA,65.35,1020,-22.95,30.48,Masili Guesthouse & Conference
303,Acoua,YT,77.0,1013,-12.72,45.06,Gîte de Mliha
308,Fairview,US,66.2,1025,40.81,-74.0,Homewood Suites by Hilton Edgewater-NYC Area
310,Santander,ES,62.01,1014,43.46,-3.8,Abba Santander Hotel
312,Tomatlan,MX,78.28,1012,19.93,-105.25,Norma franco
315,Gambela,ET,69.66,1012,8.25,34.58,Solomon Debebe Hotel
317,Valentin Gomez Farias,MX,65.73,1016,28.22,-106.58,
319,Pooler,US,73.4,1020,32.12,-81.25,Embassy Suites by Hilton Savannah Airport
321,General Roca,AR,64.4,1016,-39.03,-67.58,Hotel El Recreo
330,Tateyama,JP,69.8,1002,34.98,139.87,Tateyama Seaside Hotel
336,Faanui,PF,79.97,1012,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
338,Carutapera,BR,76.87,1011,-1.2,-46.02,Lidera
340,Caravelas,BR,72.59,1017,-17.71,-39.25,Pousada dos Navegantes
341,Simao,CN,70.59,1017,22.79,100.97,Changyu Hotel
343,Fuerte Olimpo,PY,73.67,1010,-21.04,-57.87,Hotel Fuerte Olimpo
344,Sechura,PE,66.38,1014,-5.56,-80.82,Hospedaje Costa Bella
347,Ahipara,NZ,67.96,1021,-35.17,173.17,Ahipara Holiday Park
349,Vila Velha,BR,73.4,1020,-20.33,-40.29,Hotel Vitória Palace
351,Bahia Honda,CU,78.08,1012,22.9,-83.16,Casa Gualberto - Deysi
352,Fukue,JP,60.8,1013,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
363,Huarmey,PE,62.96,1017,-10.07,-78.15,Hotel Miramar
364,Lianzhou,CN,71.6,1017,24.78,112.38,Qingcheng Tourism Industry
366,Likasi,CD,66.33,1013,-10.98,26.73,TABERNACLE DE LIKASI
368,Yuty,PY,76.68,1012,-26.6,-56.25,Hotel Independencia
370,Niamtougou,TG,71.73,1011,9.77,1.11,Sevebat
371,Mananara,MG,71.89,1017,-16.17,49.77,androkaroka.les 3 arcs
373,Sola,VU,75.85,1012,-13.88,167.55,Ulkel Guest House
374,Hasaki,JP,69.8,1001,35.73,140.83,Inubosaki Kanko Hotel
376,Kruisfontein,ZA,61.32,1012,-34.0,24.73,Oyster Bay House Rental
378,Antalaha,MG,72.23,1017,-14.9,50.28,Hotel Vitasoa
381,Ondjiva,AO,66.96,1013,-17.07,15.73,SOS Motel
388,Naze,JP,73.4,1010,28.37,129.48,奄美ポートタワーホテル
389,Melilla,ES,64.4,1021,35.29,-2.94,Hôtel Anfora
391,Durg,IN,73.4,1008,21.18,81.28,MAITRI HOSTEL
394,Hami,CN,61.02,1015,42.8,93.45,Laoyutang Resort
398,Garissa,KE,74.98,1013,-0.45,39.64,Sharif Plaza Hotel
400,Barra,BR,79.48,1012,-11.09,-43.14,Pousada Bahia
405,Aripuana,BR,74.66,1010,-9.17,-60.63,
406,San Cristobal,VE,66.6,1014,7.77,-72.22,Pirineos
411,Porto Santo,PT,64.4,1023,33.07,-16.34,Hotel Porto Santo & Spa
412,Los Llanos De Aridane,ES,68.0,1022,28.66,-17.92,Valle Aridane
423,Bilma,NE,76.3,1014,18.69,12.92,Expeditions Ténére voyages
425,Luganville,VU,77.0,1013,-15.53,167.17,The Espiritu Hotel
426,Temba,ZA,62.01,1024,-25.38,28.26,Gene's Guesthouse
427,Chissamba,AO,64.74,1014,-12.17,17.33,
430,Nishihara,JP,73.4,1012,26.18,127.76,Minshuku Agaihama
431,Acarau,BR,79.11,1012,-2.89,-40.12,castelo pizzaria
433,Hamilton,US,70.0,1019,39.18,-84.53,Six Acres Bed & Breakfast
442,Mendoza,AR,68.0,1016,-32.89,-68.83,Hotel Mendoza
448,Huilong,CN,64.99,1019,31.81,121.66,Hilton Garden Inn Qidong
455,Sur,OM,77.14,1011,22.57,59.53,Sur Plaza Hotel
457,Madimba,TZ,74.39,1013,-10.4,40.33,
458,Calvinia,ZA,66.34,1014,-31.47,19.78,Die Lemoenhuis
459,Pafos,CY,68.0,1016,34.77,32.42,Elysium Hotel
464,Broken Hill,AU,71.6,1006,-31.95,141.43,Daydream Motel & Cottages
473,Waikuku,NZ,60.8,1020,-43.3,172.68,Rivendell Respite
475,Vao,NC,74.75,1014,-22.67,167.48,Hotel Kou-Bugny
479,Bernal,PE,67.8,1014,-5.45,-80.75,Plaza de Armas Bellavista de La Unión
